Tweet,Keyword
"Don’t drop the guard against Covid-19, experts caution after WHO downgrade

The pandemic’s ‘global health emergency’ status may be over, but vulnerable groups in Nepal continue to be at risk.

https://t.co/S37oFfHgWZ — by @arjunpoudeltkp",COVID-19
"Nepal reports 455 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,435.

https://t.co/NDNWkNAfLl",COVID-19
"Next year, NEFTA awards goes to Texas

The award is being organised after a hiatus of two years due to the Covid-19 pandemic. The 10th NEFTA award ceremony was held in Kathmandu in March 2020.

https://t.co/APssdZtbxQ — by Rukusha Giri",COVID-19
"Chinese drugmakers rushed to make anti-fever medicines and other treatments for Covid-19 on Thursday, after President Xi Jinping said he was worried about an influx of holiday travellers to rural areas ill-equipped to deal with sudden outbreaks.

https://t.co/zoYRJNUCn6",COVID-19
"Nepal reports 15 new Covid-19 cases

According to the Health Ministry, 966,593 infected people have recovered from the disease so far and the number of active cases stands at 249.

https://t.co/9lrm4kWhOi",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"OPINION: Applying the Covid-19 blueprint to cholera

We have the tools we need to defeat cholera, but we must still do the research that is required to identify how, when, and where to use them.

https://t.co/3TI5tDmilb — by Md Taufiqul Islam &amp; Firdausi Quadri",COVID-19
"Nepal logs 26 new Covid-19 cases

According to the Health Ministry, 966,111 infected people have recovered from the disease so far and the number of active cases stands at 554.

https://t.co/jCqXmHHhEl",COVID-19
"OPINION: Pandemics and misinformation

Misinformation is a common thread between Covid-19 and HIV/AIDS with deadly consequences.

https://t.co/cZVyQE4FPe — by Cristian Apetrei",COVID-19
"Daraz Summit 2022: Covid-19 accelerated the move to digital financial services

Developing and enforcing clearer guidelines about effective disclosure and pricing transparency could help build trust in the financial system. https://t.co/DoS6peFsXy — by @PrasainKrishana",COVID-19
"Nepal reports 487 new Covid-19 cases

According to the ministry, 979,938 infected people have recovered from the disease so far. The number of active cases stands at 4,298.

https://t.co/SqI1FSjixz",COVID-19
"India asks states to ramp up 
testing as Covid-19 cases climb

Daily new cases have nearly tripled from around 2,000 at the end of March.

https://t.co/cp9iFsY97d",COVID-19
"Nepal reports five new Covid-19 cases

According to the Health Ministry, 967,011 infected people have recovered from the disease so far and the number of active cases stands at 128.

https://t.co/XGDq4uVI7D",COVID-19
"Nepal reports six new Covid-19 cases

According to the Health Ministry, 966,975 infected people have recovered from the disease so far and the number of active cases stands at 141.

https://t.co/UkIijkX6ei",COVID-19
"Nepal reports 357 new Covid-19 cases

The number of active cases stands at 1,982.

https://t.co/9cNkFhkeY2",COVID-19
"Nepal reports six new Covid-19 cases

According to the Health Ministry, 966,929 infected people have recovered from the disease so far and the number of active cases stands at 147.

https://t.co/knQoKr6li0",COVID-19
"Pfizer CEO Bourla shows mild symptoms after testing positive for Covid

Bourla, 60, said he had started a course of the company’s oral Covid-19 antiviral treatment, Paxlovid, and was isolating and following all public health precautions.

https://t.co/xyjVgd9PtQ",COVID-19
"Nepal reports 17 new Covid-19 cases

The number of active cases stands at 109.

https://t.co/UFJCbj0QgS",COVID-19
"Nepal reports 21 new Covid-19 cases

According to the Health Ministry, 966,839 infected people have recovered from the disease so far and the number of active cases stands at 187.

https://t.co/bZ31kI6MaK",COVID-19
"Nepal reports 34 new Covid-19 cases

The number of active cases stands at 104.

https://t.co/Z9FK3X6kQ3",COVID-19
"Nepal reports 14 new Covid-19 cases

https://t.co/U06uIlsXvB",COVID-19
"US to end Covid-19 emergency declarations on May 11

Covid-19 cases are declining in the United States, though more than 500 people continue to die each day from the disease, government data showed.

https://t.co/CqmhVZyLsV",COVID-19
"Nepal receives 345,600 doses of Pfizer-BioNTech’s bivalent Covid-19 vaccine

The health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots.

https://t.co/TubkDDUnJo",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 110 new Covid-19 cases

According to the ministry, 985,103 infected people have recovered from the disease so far. The number of active cases stands at 2,062.

https://t.co/kETKWqcvFu",COVID-19
"As dengue becomes endemic to Nepal, infection, mortality risks escalate

Experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by Covid-19.

https://t.co/DYCTDvFHRR — by @arjunpoudeltkp",COVID-19
"Nepal reports 179 new Covid-19 cases

According to the ministry, 984,584 infected people have recovered from the disease so far. The number of active cases stands at 2,271.

https://t.co/z52h7ibxqS",COVID-19
"Nepal reports 59 new Covid-19 cases

According to the ministry, 985,395 infected people have recovered from the disease so far. The number of active cases stands at 1,830.

https://t.co/gljhygv4ex",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzfBN1",COVID-19
"Nepal reports 815 new Covid-19 cases

Five new deaths were reported in the last 24 hours. Number of active cases stands at 5,869.

https://t.co/4dFO4NGddF",COVID-19
"I earned substantial revenue through my own channel so during the Covid-19 pandemic I need not to worry about my livelihood: Suman

#KantipurConclave2022 https://t.co/sda49NfJ9c",COVID-19
"Nepal reports 710 new Covid-19 cases

Two new deaths were reported in the last 24 hours. Number of active cases stands at 4,236.

https://t.co/lSOiiyWBND",COVID-19
"Nepal logs 10 new Covid-19 cases

According to the Health Ministry, 966,558 infected people have recovered from the disease so far and the number of active cases stands at 261.

https://t.co/QsiPkibDD5",COVID-19
"Everything you need to know about the Covid-19 situation in Nepal.

Daily updates and insights, we have you covered 👇 

https://t.co/GdwHLzxdbB",COVID-19
"Nepal reports 438 new Covid-19 cases

Number of active cases stands at 4,369.

https://t.co/3g086kXDiJ",COVID-19
